0,4.99E-16
0,4.94E-14
0,4.99E-16
0,4.04E-15
0,4.49E-15
0,5.05E-15
0,5.74E-15
0,6.63E-15
0,7.82E-15
0,9.48E-15
0,1.20E-14
0,1.61E-14
0,2.44E-14
0,2.42E-12
0,4.94E-14
0,4.99E-16
0,4.04E-15
0,3.63E-14
0,4.54E-14
0,5.80E-14
0,7.62E-14
0,1.04E-13
0,1.49E-13
0,9.48E-15
0,1.20E-14
0,3.87E-13
7.91E-13,0
1.60E-12,0
0,2.44E-14
0,4.49E-15
0,4.08E-14
0,5.16E-14
0,6.70E-14
0,8.99E-14
0,1.26E-13
0,7.82E-15
0,2.28E-13
0,1.61E-14
0,5.87E-13
0,1.19E-12
4.00E-13,0
0,5.05E-15
0,4.64E-14
0,5.97E-14
0,7.90E-14
0,1.09E-13
0,6.63E-15
0,1.88E-13
0,3.07E-13
0,1.98E-13
0,4.45E-13
0,5.74E-15
0,5.36E-14
0,7.04E-14
0,9.59E-14
0,1.59E-13
0,2.53E-13
0,4.65E-13
0,9.39E-13
0,1.31E-13
0,2.20E-13
0,4.99E-13
0,6.32E-14
0,8.53E-14
0,1.38E-13
0,2.14E-13
0,3.83E-13
0,7.74E-13
0,9.69E-14
0,1.45E-13
0,2.47E-13
0,5.68E-13
0,7.67E-14
0,1.21E-13
0,1.86E-13
0,3.25E-13
0,6.56E-13
0,1.08E-13
0,1.63E-13
0,2.81E-13
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7.83E-11,0
0,2.42E-12
0,4.94E-14
0,4.04E-15
0,3.63E-14
0,3.67E-13
0,5.22E-13
0,7.71E-13
0,1.19E-12
0,1.97E-12
0,1.49E-13
0,2.28E-13
0,3.87E-13
1.90E-11,0
0,5.81E-11
1.60E-12,0
0,2.44E-14
4.00E-13,0
0,4.54E-14
0,4.69E-13
0,6.86E-13
0,1.05E-12
0,1.71E-12
0,1.26E-13
0,1.88E-13
0,7.36E-12
7.91E-13,0
0,1.19E-12
0,1.61E-14
0,1.98E-13
3.60E-12,0
0,5.80E-14
0,6.17E-13
0,9.35E-13
0,1.50E-12
0,1.09E-13
0,1.59E-13
0,6.07E-12
1.50E-11,0
0,4.60E-11
0,1.20E-14
0,1.31E-13
0,1.78E-12
0,4.50E-12
0,7.62E-14
0,8.40E-13
0,1.34E-12
0,9.59E-14
0,1.38E-13
0,5.14E-12
1.24E-11,0
0,3.79E-11
0,9.39E-13
0,4.99E-16
0,9.69E-14
0,1.17E-12
0,2.22E-12
0,5.74E-12
0,1.04E-13
0,1.20E-12
0,8.53E-14
0,1.21E-13
0,4.45E-12
1.05E-11,0
0,3.22E-11
0,7.74E-13
0,9.48E-15
0,8.72E-13
0,1.47E-12
0,2.84E-12
0,7.55E-12
0,7.67E-14
0,1.08E-13
0,3.91E-12
9.09E-12,0
0,2.78E-11
0,6.56E-13
0,7.82E-15
0,1.09E-12
0,1.88E-12
0,3.74E-12
0,1.03E-11
0,3.48E-12
7.99E-12,0
0,2.45E-11
0,5.68E-13
0,6.63E-15
0,6.32E-14
0,6.90E-13
0,1.39E-12
0,2.46E-12
0,5.09E-12
0,1.47E-11
0,3.13E-12
7.11E-12,0
0,2.18E-11
0,4.99E-13
0,5.74E-15
0,5.36E-14
0,5.69E-13
0,8.63E-13
0,1.83E-12
0,3.36E-12
0,7.28E-12
6.40E-12,0
1.96E-11,0
0,4.45E-13
0,5.05E-15
0,4.64E-14
0,4.83E-13
0,7.11E-13
0,1.10E-12
0,2.49E-12
0,4.80E-12
0,4.65E-13
0,4.49E-15
0,4.08E-14
0,4.18E-13
0,6.03E-13
0,9.09E-13
0,1.45E-12
0,3.56E-12
0,3.07E-13
0,5.87E-13
3.83E-11,0
0,5.16E-14
0,5.42E-13
0,8.09E-13
0,1.27E-12
0,8.99E-14
0,3.02E-12
0,2.53E-13
0,1.11E-11
3.03E-11,0
0,2.20E-13
4.04E-12,0
0,6.70E-14
0,7.27E-13
0,1.13E-12
0,7.90E-14
0,2.62E-12
0,2.14E-13
0,9.19E-12
2.50E-11,0
0,1.45E-13
0,2.00E-12
0,5.11E-12
0,1.02E-12
0,7.04E-14
0,2.30E-12
0,1.86E-13
0,7.80E-12
2.12E-11,0
0,3.83E-13
0,1.32E-12
0,2.53E-12
0,6.64E-12
0,2.05E-12
0,1.63E-13
6.75E-12,0
1.84E-11,0
0,3.25E-13
0,9.80E-13
0,1.67E-12
0,3.28E-12
8.90E-12,0
0,1.84E-12
5.93E-12,0
